,gender,year,avg_sleep
0,total,2003,8.57
1,total,2004,8.55
2,total,2005,8.62
3,total,2006,8.63
4,total,2007,8.57
5,total,2008,8.6
6,total,2009,8.67
7,total,2010,8.67
8,total,2011,8.71
9,total,2012,8.73
10,total,2013,8.74
11,total,2014,8.8
12,total,2015,8.83
13,total,2016,8.79
14,total,2017,8.8
15,total,2018,8.82
16,total,2019,8.84
17,men,2003,8.48
18,men,2004,8.48
19,men,2005,8.53
20,men,2006,8.56
21,men,2007,8.52
22,men,2008,8.56
23,men,2009,8.62
24,men,2010,8.56
25,men,2011,8.62
26,men,2012,8.6
27,men,2013,8.65
28,men,2014,8.69
29,men,2015,8.77
30,men,2016,8.69
31,men,2017,8.7
32,men,2018,8.75
33,men,2019,8.76
34,women,2003,8.65
35,women,2004,8.61
36,women,2005,8.71
37,women,2006,8.69
38,women,2007,8.63
39,women,2008,8.64
40,women,2009,8.73
41,women,2010,8.76
42,women,2011,8.8
43,women,2012,8.86
44,women,2013,8.82
45,women,2014,8.9
46,women,2015,8.9
47,women,2016,8.88
48,women,2017,8.9
49,women,2018,8.87
50,women,2019,8.91
