Series ID,Year,Period,Label,Value
TUU10101AA01000247,2003,A01,2003 Annual,8.57
TUU10101AA01000247,2004,A01,2004 Annual,8.55
TUU10101AA01000247,2005,A01,2005 Annual,8.62
TUU10101AA01000247,2006,A01,2006 Annual,8.63
TUU10101AA01000247,2007,A01,2007 Annual,8.57
TUU10101AA01000247,2008,A01,2008 Annual,8.60
TUU10101AA01000247,2009,A01,2009 Annual,8.67
TUU10101AA01000247,2010,A01,2010 Annual,8.67
TUU10101AA01000247,2011,A01,2011 Annual,8.71
TUU10101AA01000247,2012,A01,2012 Annual,8.73
TUU10101AA01000247,2013,A01,2013 Annual,8.74
TUU10101AA01000247,2014,A01,2014 Annual,8.80
TUU10101AA01000247,2015,A01,2015 Annual,8.83
TUU10101AA01000247,2016,A01,2016 Annual,8.79
TUU10101AA01000247,2017,A01,2017 Annual,8.80
TUU10101AA01000247,2018,A01,2018 Annual,8.82
TUU10101AA01000247,2019,A01,2019 Annual,8.84
TUU10101AA01000326,2003,A01,2003 Annual,8.48
TUU10101AA01000326,2004,A01,2004 Annual,8.48
TUU10101AA01000326,2005,A01,2005 Annual,8.53
TUU10101AA01000326,2006,A01,2006 Annual,8.56
TUU10101AA01000326,2007,A01,2007 Annual,8.52
TUU10101AA01000326,2008,A01,2008 Annual,8.56
TUU10101AA01000326,2009,A01,2009 Annual,8.62
TUU10101AA01000326,2010,A01,2010 Annual,8.56
TUU10101AA01000326,2011,A01,2011 Annual,8.62
TUU10101AA01000326,2012,A01,2012 Annual,8.60
TUU10101AA01000326,2013,A01,2013 Annual,8.65
TUU10101AA01000326,2014,A01,2014 Annual,8.69
TUU10101AA01000326,2015,A01,2015 Annual,8.77
TUU10101AA01000326,2016,A01,2016 Annual,8.69
TUU10101AA01000326,2017,A01,2017 Annual,8.70
TUU10101AA01000326,2018,A01,2018 Annual,8.75
TUU10101AA01000326,2019,A01,2019 Annual,8.76
TUU10101AA01000405,2003,A01,2003 Annual,8.65
TUU10101AA01000405,2004,A01,2004 Annual,8.61
TUU10101AA01000405,2005,A01,2005 Annual,8.71
TUU10101AA01000405,2006,A01,2006 Annual,8.69
TUU10101AA01000405,2007,A01,2007 Annual,8.63
TUU10101AA01000405,2008,A01,2008 Annual,8.64
TUU10101AA01000405,2009,A01,2009 Annual,8.73
TUU10101AA01000405,2010,A01,2010 Annual,8.76
TUU10101AA01000405,2011,A01,2011 Annual,8.80
TUU10101AA01000405,2012,A01,2012 Annual,8.86
TUU10101AA01000405,2013,A01,2013 Annual,8.82
TUU10101AA01000405,2014,A01,2014 Annual,8.90
TUU10101AA01000405,2015,A01,2015 Annual,8.90
TUU10101AA01000405,2016,A01,2016 Annual,8.88
TUU10101AA01000405,2017,A01,2017 Annual,8.90
TUU10101AA01000405,2018,A01,2018 Annual,8.87
TUU10101AA01000405,2019,A01,2019 Annual,8.91
